,country,count_total,cust_id,churn
1152,AB,174,2,No
1153,AB,50,6,No
1154,AB,21,1,Yes
1155,AB,72,4,Yes
1156,AB,173,13,No
1157,CD,164,19,No
1158,CD,53,3,Yes
1159,CD,71,4,Yes
1160,CD,160,7,Yes
1161,CD,82,14,Yes
1162,AB,140,9,Yes
1163,CD,133,14,Yes
1164,CD,111,2,Yes
1165,CD,170,6,Yes
1166,AB,167,1,Yes
1167,AB,6,2,No
1168,AB,22,3,No
1169,AB,125,15,No
1170,CD,142,6,No
1171,AB,51,7,No
1172,AB,65,4,No
1173,AB,62,12,Yes
1174,CD,109,14,No
1175,CD,102,13,Yes
1176,CD,159,10,No
1177,CD,73,15,No
1178,AB,111,7,No
1179,CD,93,12,Yes
1180,CD,78,10,No
1181,CD,26,8,No
1182,AB,40,2,No
1183,AB,99,14,No
1184,CD,24,4,No
1185,CD,10,13,Yes
1186,AB,63,15,No
1187,CD,99,16,Yes
1188,CD,13,13,No
1189,AB,113,6,Yes
1190,CD,60,13,Yes
1191,AB,107,11,Yes
1192,CD,173,18,Yes
1193,AB,115,10,Yes
1194,CD,133,6,Yes
1195,AB,175,13,No
1196,AB,27,16,Yes
1197,CD,70,16,Yes
1198,CD,20,15,Yes
1199,CD,63,10,Yes
1200,AB,27,7,No
1201,CD,65,5,No
1202,CD,151,11,No
1203,AB,125,17,No
1204,CD,109,12,No
1205,CD,89,10,Yes
1206,AB,39,3,No
1207,CD,174,16,No
1208,AB,151,5,Yes
1209,CD,166,5,No
1210,AB,85,17,Yes
1211,CD,62,11,No
1212,CD,108,3,Yes
1213,AB,135,8,Yes
1214,AB,48,14,No
1215,AB,139,12,No
1216,CD,121,18,Yes
1217,CD,80,19,Yes
1218,CD,175,9,Yes
1219,AB,123,11,No
1220,CD,117,7,Yes
1221,AB,67,4,Yes
1222,CD,166,7,Yes
1223,AB,101,6,Yes
1224,AB,61,5,No
1225,AB,89,9,No
1226,AB,122,3,Yes
1227,AB,135,1,No
1228,CD,32,13,Yes
1229,CD,140,4,Yes
1230,CD,50,7,No
1231,AB,47,16,No
1232,CD,123,10,Yes
1233,AB,161,10,Yes
1234,CD,45,3,No
1235,CD,155,15,No
1236,AB,115,11,Yes
1237,AB,90,16,Yes
1238,CD,9,6,No
1239,CD,148,5,Yes
1240,AB,150,12,Yes
1241,CD,8,16,No
1242,CD,118,19,Yes
1243,AB,178,4,Yes
1244,AB,14,18,Yes
1245,AB,118,2,No
1246,CD,7,11,Yes
1247,AB,124,4,Yes
1248,CD,77,16,Yes
1249,AB,171,19,No
1250,AB,168,16,No
1251,CD,135,17,No
1252,AB,120,2,Yes
1253,CD,65,19,Yes
1254,CD,44,3,No
1255,CD,71,10,No
1256,CD,101,18,Yes
1257,CD,172,3,Yes
1258,AB,153,15,Yes
1259,AB,152,5,No
1260,CD,76,3,Yes
1261,AB,179,17,Yes
1262,AB,30,11,No
1263,CD,3,12,Yes
1264,CD,144,3,No
1265,CD,173,8,Yes
1266,CD,171,15,No
1267,AB,122,11,Yes
1268,AB,25,14,Yes
1269,CD,132,19,No
1270,AB,49,12,No
1271,AB,16,19,No
1272,CD,73,8,No
1273,CD,30,12,Yes
1274,CD,160,14,No
1275,CD,88,13,Yes
1276,AB,141,18,No
1277,AB,1,11,No
1278,CD,175,15,No
1279,AB,53,19,No
1280,CD,124,13,No
1281,AB,119,9,No
1282,AB,121,11,Yes
1283,AB,139,16,Yes
1284,CD,34,2,No
1285,AB,155,10,No
1286,CD,86,14,No
1287,CD,161,11,Yes
1288,CD,49,12,Yes
1289,CD,104,11,No
1290,CD,37,4,No
1291,CD,80,10,Yes
1292,CD,23,6,Yes
1293,AB,18,18,No
1294,CD,15,1,Yes
1295,AB,29,1,Yes
1296,AB,81,12,Yes
1297,CD,104,10,Yes
1298,CD,62,3,No
1299,AB,149,3,Yes
1300,CD,125,16,Yes
1301,CD,162,5,No
1302,AB,50,2,Yes
1303,AB,143,11,No
1304,AB,72,14,No
1305,CD,37,9,No
1306,CD,81,7,No
1307,AB,81,2,No
1308,AB,93,4,Yes
1309,AB,14,8,Yes
1310,CD,7,12,No
1311,CD,157,11,No
1312,AB,156,16,Yes
1313,CD,153,18,Yes
1314,AB,103,8,No
1315,CD,143,2,Yes
1316,CD,117,13,Yes
1317,CD,21,6,Yes
1318,AB,165,18,Yes
1319,AB,112,7,Yes
1320,CD,15,12,No
1321,AB,29,5,No
1322,AB,176,1,No
1323,AB,86,15,No
1324,CD,133,12,Yes
1325,CD,146,7,Yes
1326,AB,64,19,No
1327,AB,171,16,No
1328,AB,100,13,No
1329,AB,116,1,No
1330,CD,146,17,Yes
1331,CD,133,13,Yes
1332,CD,162,11,Yes
1333,CD,152,10,Yes
1334,CD,141,18,No
1335,CD,23,15,Yes
1336,CD,166,19,No
1337,CD,159,2,Yes
1338,AB,55,2,Yes
1339,CD,88,3,No
1340,AB,161,13,No
1341,CD,65,15,Yes
1342,CD,48,4,Yes
1343,CD,53,8,No
1344,CD,120,15,No
1345,CD,126,5,No
1346,CD,116,10,No
1347,AB,30,10,No
1348,CD,76,15,Yes
1349,AB,156,3,No
1350,CD,127,15,Yes
1351,AB,70,3,Yes
1352,AB,148,19,Yes
1353,AB,132,7,Yes
1354,AB,58,6,No
1355,CD,45,3,No
1356,AB,115,15,No
1357,CD,73,12,Yes
1358,CD,55,12,Yes
1359,AB,52,13,Yes
1360,CD,14,19,Yes
1361,CD,139,1,No
1362,CD,46,5,Yes
1363,CD,52,14,Yes
1364,AB,106,16,No
1365,CD,134,12,Yes
1366,CD,176,5,Yes
1367,AB,177,19,No
1368,AB,49,8,No
1369,CD,53,1,No
1370,CD,80,4,No
1371,AB,23,4,Yes
1372,AB,54,17,No
1373,AB,134,11,No
1374,AB,173,18,Yes
1375,CD,145,5,No
1376,AB,63,8,Yes
1377,AB,162,6,Yes
1378,AB,52,10,No
1379,AB,65,11,No
1380,CD,48,13,Yes
1381,CD,14,7,No
1382,AB,19,18,No
1383,AB,178,19,Yes
1384,CD,46,4,No
1385,AB,70,3,Yes
1386,AB,90,19,Yes
1387,AB,29,9,Yes
1388,CD,96,5,No
1389,CD,112,3,Yes
1390,CD,147,12,Yes
1391,CD,122,7,Yes
1392,AB,89,15,Yes
1393,CD,176,9,No
1394,CD,109,5,No
1395,CD,61,5,No
1396,CD,33,11,No
1397,AB,88,5,Yes
1398,AB,134,16,Yes
1399,AB,65,8,No
1400,AB,61,6,Yes
1401,CD,41,15,No
1402,CD,96,8,Yes
1403,CD,67,11,Yes
1404,AB,99,16,Yes
1405,CD,104,1,Yes
1406,CD,100,5,Yes
1407,CD,158,17,No
1408,AB,139,15,No
1409,AB,163,13,Yes
1410,CD,165,5,No
1411,CD,29,18,Yes
1412,AB,140,11,No
1413,AB,74,9,No
1414,AB,144,8,Yes
1415,CD,98,8,Yes
1416,AB,43,3,Yes
1417,CD,48,4,Yes
1418,AB,162,6,No
1419,CD,8,17,Yes
1420,CD,47,10,Yes
1421,AB,12,7,Yes
1422,AB,25,10,Yes
1423,CD,41,14,No
1424,AB,51,1,Yes
1425,AB,61,6,No
1426,CD,84,14,No
1427,CD,163,4,Yes
1428,CD,53,14,No
1429,AB,93,9,No
1430,CD,50,2,Yes
1431,CD,150,7,Yes
1432,AB,165,14,No
1433,CD,9,10,Yes
1434,CD,73,15,No
1435,CD,135,7,No
1436,AB,77,6,No
1437,AB,150,18,No
1438,CD,9,18,Yes
1439,AB,151,15,No
1440,AB,113,3,Yes
1441,AB,149,5,Yes
1442,CD,172,14,Yes
1443,AB,47,5,No
1444,CD,129,18,No
1445,AB,66,5,No
1446,CD,157,19,Yes
1447,AB,98,12,Yes
1448,CD,97,9,No
1449,CD,113,2,Yes
1450,AB,24,7,Yes
1451,AB,148,15,Yes
1452,CD,143,11,No
1453,CD,117,6,No
1454,AB,99,8,No
1455,AB,158,12,No
1456,CD,155,9,Yes
1457,CD,55,16,No
1458,CD,66,10,No
1459,CD,52,9,Yes
1460,AB,157,11,Yes
1461,CD,163,7,No
1462,CD,104,9,No
1463,CD,167,7,No
1464,AB,84,11,Yes
1465,AB,161,5,No
1466,AB,177,16,No
1467,CD,120,5,Yes
1468,AB,41,1,No
1469,CD,105,12,No
1470,AB,32,13,No
1471,AB,77,1,Yes
1472,AB,28,1,Yes
1473,CD,145,12,No
1474,AB,129,3,No
1475,AB,53,18,Yes
1476,AB,118,1,No
1477,CD,49,18,No
1478,CD,135,7,No
1479,CD,149,5,No
1480,AB,30,18,No
1481,AB,135,10,No
1482,CD,99,4,No
1483,CD,169,14,Yes
1484,AB,161,17,Yes
1485,CD,3,3,No
1486,AB,53,3,No
1487,AB,16,7,Yes
1488,AB,37,7,No
1489,AB,15,6,Yes
1490,AB,143,13,No
1491,CD,89,3,No
1492,CD,10,4,No
1493,AB,69,6,No
1494,CD,4,17,Yes
1495,AB,87,7,No
1496,CD,157,3,No
1497,CD,166,17,Yes
1498,CD,80,14,No
1499,CD,1,3,Yes
1500,CD,61,8,No
1501,AB,60,19,No
1502,CD,145,11,No
1503,CD,19,14,No
1504,AB,143,9,No
1505,CD,105,4,Yes
1506,CD,130,3,Yes
1507,AB,57,10,No
1508,AB,39,11,Yes
1509,CD,92,17,Yes
1510,CD,178,3,Yes
1511,AB,79,15,Yes
1512,CD,173,10,No
1513,CD,55,2,Yes
1514,CD,40,17,Yes
1515,AB,62,18,Yes
1516,AB,24,1,No
1517,CD,105,9,No
1518,AB,100,16,Yes
1519,CD,21,3,No
1520,AB,147,10,No
1521,CD,159,15,No
1522,AB,179,6,No
1523,AB,103,4,Yes
1524,AB,166,9,Yes
1525,AB,166,16,Yes
1526,CD,131,16,Yes
1527,AB,156,9,Yes
1528,AB,76,10,Yes
1529,CD,47,13,No
1530,AB,70,7,Yes
1531,AB,60,3,No
1532,AB,103,8,No
1533,CD,96,3,Yes
1534,CD,107,11,Yes
1535,CD,106,15,Yes
1536,AB,12,15,Yes
1537,CD,84,9,No
1538,AB,67,12,Yes
1539,CD,45,18,No
1540,AB,9,16,No
1541,CD,100,1,No
1542,CD,147,17,Yes
1543,AB,123,7,Yes
1544,CD,29,7,Yes
1545,AB,132,5,Yes
1546,AB,119,15,Yes
1547,AB,60,12,Yes
1548,CD,133,2,No
1549,AB,68,19,Yes
1550,CD,26,8,No
1551,AB,39,7,No
1552,CD,115,2,No
1553,CD,149,5,Yes
1554,CD,139,10,No
1555,AB,139,2,Yes
1556,AB,31,10,No
1557,AB,3,18,No
1558,AB,123,17,Yes
1559,CD,147,7,No
1560,CD,170,11,No
1561,CD,129,14,No
1562,AB,118,12,Yes
1563,CD,5,14,No
1564,CD,95,14,Yes
1565,AB,61,18,Yes
1566,CD,157,1,No
1567,CD,48,17,Yes
1568,AB,67,6,No
1569,AB,169,2,Yes
1570,CD,6,18,Yes
1571,AB,45,6,Yes
1572,CD,109,15,Yes
1573,AB,118,19,Yes
1574,AB,146,15,Yes
1575,AB,94,7,Yes
1576,AB,142,9,Yes
1577,AB,157,19,Yes
1578,CD,153,4,No
1579,CD,161,18,No
1580,CD,95,13,Yes
1581,AB,172,3,No
1582,CD,113,6,Yes
1583,AB,117,10,Yes
1584,CD,70,12,Yes
1585,AB,3,17,No
1586,CD,62,15,No
1587,AB,109,17,No
1588,AB,67,4,No
1589,AB,83,2,Yes
1590,CD,13,6,No
1591,CD,124,18,Yes
1592,AB,63,9,Yes
1593,CD,5,17,No
1594,AB,72,11,No
1595,CD,60,17,No
1596,CD,27,5,Yes
1597,CD,144,6,No
1598,CD,53,3,No
1599,CD,29,8,Yes
1600,CD,129,13,Yes
1601,CD,43,5,No
1602,AB,122,11,Yes
1603,CD,9,8,No
1604,CD,38,14,No
1605,CD,144,18,Yes
1606,CD,18,7,No
1607,AB,169,8,No
1608,CD,16,12,No
1609,CD,155,5,Yes
1610,CD,40,4,Yes
1611,CD,74,8,Yes
1612,CD,100,2,Yes
1613,AB,129,19,Yes
1614,AB,37,3,No
1615,CD,65,8,Yes
1616,AB,168,6,No
1617,CD,151,10,Yes
1618,CD,129,18,No
1619,AB,88,9,No
1620,CD,105,13,Yes
1621,CD,8,4,No
1622,AB,179,5,No
1623,CD,114,12,Yes
1624,CD,86,13,Yes
1625,AB,62,3,No
1626,AB,131,9,Yes
1627,AB,125,4,No
1628,CD,168,4,Yes
1629,AB,17,7,Yes
1630,AB,166,13,No
1631,AB,45,13,No
1632,AB,177,6,Yes
1633,CD,122,13,No
1634,CD,91,2,Yes
1635,CD,78,5,Yes
1636,AB,30,3,No
1637,CD,162,5,No
1638,AB,101,14,Yes
1639,AB,79,17,Yes
1640,CD,24,16,No
1641,AB,123,7,No
1642,CD,128,13,Yes
1643,CD,46,15,No
1644,CD,116,10,No
1645,CD,21,4,Yes
1646,AB,165,14,Yes
1647,AB,83,9,Yes
1648,CD,19,12,No
1649,CD,48,4,No
1650,CD,146,19,No
1651,AB,176,5,No
1652,AB,104,14,No
1653,AB,84,5,No
1654,CD,108,14,No
1655,CD,121,16,Yes
1656,CD,72,17,No
1657,AB,174,7,No
1658,AB,112,18,No
1659,AB,83,4,Yes
1660,AB,2,17,No
1661,CD,123,3,Yes
1662,AB,126,18,Yes
1663,AB,83,13,No
1664,AB,74,9,No
1665,CD,165,10,No
1666,AB,72,9,No
1667,CD,112,5,No
1668,CD,16,18,No
1669,CD,152,11,No
1670,AB,170,13,No
1671,AB,37,5,No
1672,CD,28,3,No
1673,CD,40,15,Yes
1674,AB,56,1,Yes
1675,CD,172,18,Yes
1676,AB,69,14,Yes
1677,AB,177,12,Yes
1678,CD,102,7,No
1679,AB,119,4,Yes
1680,CD,38,9,Yes
1681,AB,121,15,Yes
1682,AB,23,7,No
1683,CD,114,5,No
1684,AB,174,10,No
1685,AB,151,9,No
1686,CD,81,5,Yes
1687,CD,161,4,No
1688,AB,153,14,Yes
1689,CD,49,11,No
1690,AB,10,3,No
1691,CD,17,19,Yes
1692,CD,176,19,Yes
1693,AB,133,12,No
1694,AB,126,13,No
1695,CD,143,5,No
1696,CD,32,10,Yes
1697,AB,110,10,Yes
1698,AB,15,9,No
1699,CD,29,4,No
1700,CD,20,13,No
1701,AB,124,19,No
1702,CD,8,11,Yes
1703,AB,18,12,No
1704,AB,40,12,Yes
1705,AB,30,17,Yes
1706,CD,115,5,Yes
1707,CD,114,8,No
1708,CD,99,18,Yes
1709,CD,179,1,Yes
1710,CD,138,15,Yes
1711,CD,164,11,No
1712,AB,76,9,Yes
1713,CD,169,11,No
1714,AB,52,1,No
1715,AB,12,10,Yes
1716,AB,83,17,Yes
1717,CD,155,3,Yes
1718,CD,149,17,No
1719,AB,60,1,Yes
1720,CD,137,7,No
1721,AB,102,17,No
1722,CD,17,2,No
1723,AB,31,9,Yes
1724,AB,139,10,No
1725,AB,112,14,No
1726,CD,149,1,No
1727,AB,70,1,Yes
1728,CD,136,5,No
1729,AB,4,17,Yes
1730,CD,108,16,No
1731,CD,88,6,No
1732,CD,149,8,Yes
1733,AB,80,12,No
1734,CD,102,17,Yes
1735,AB,26,19,Yes
1736,AB,114,17,No
1737,CD,99,19,Yes
1738,AB,122,18,Yes
1739,CD,86,3,Yes
1740,AB,101,7,Yes
1741,CD,36,7,Yes
1742,CD,167,4,Yes
1743,CD,38,6,Yes
1744,CD,3,10,Yes
1745,CD,118,10,No
1746,CD,76,3,No
1747,AB,68,3,Yes
1748,AB,30,1,No
1749,AB,173,15,Yes
1750,AB,148,4,Yes
1751,AB,111,1,No
1752,AB,167,19,Yes
1753,CD,37,11,Yes
1754,AB,136,12,No
1755,AB,141,7,Yes
1756,CD,151,12,No
1757,AB,172,1,No
1758,AB,94,14,Yes
1759,AB,106,5,Yes
1760,AB,15,3,No
1761,CD,173,9,Yes
1762,CD,112,9,No
1763,AB,48,14,No
1764,AB,122,2,No
1765,AB,179,12,Yes
1766,AB,151,9,Yes
1767,CD,33,15,Yes
1768,AB,111,1,Yes
1769,CD,51,12,No
1770,CD,57,17,No
1771,CD,35,12,No
1772,CD,119,5,No
1773,AB,64,6,Yes
1774,AB,24,12,No
1775,CD,103,8,No
1776,AB,29,9,No
1777,AB,14,16,No
1778,CD,127,15,Yes
1779,CD,40,15,No
1780,CD,155,3,Yes
1781,AB,55,16,Yes
1782,CD,168,16,No
1783,CD,1,19,Yes
1784,AB,101,8,Yes
1785,CD,156,4,Yes
1786,AB,98,16,No
1787,AB,84,6,Yes
1788,AB,26,19,No
1789,AB,88,18,No
1790,CD,42,16,Yes
1791,AB,169,18,No
1792,AB,2,13,Yes
1793,CD,132,9,Yes
1794,AB,3,9,Yes
1795,AB,94,12,Yes
1796,AB,45,3,No
1797,CD,19,18,No
1798,CD,50,10,No
1799,CD,95,19,Yes
1800,CD,110,7,No
1801,AB,179,11,No
1802,CD,57,13,Yes
1803,AB,62,7,Yes
1804,CD,72,16,No
1805,AB,100,3,Yes
1806,CD,15,18,Yes
1807,AB,17,10,Yes
1808,CD,109,3,No
1809,AB,108,15,Yes
1810,AB,111,3,Yes
1811,CD,152,10,Yes
1812,CD,118,6,No
1813,CD,127,11,Yes
1814,AB,52,6,No
1815,CD,76,15,No
1816,CD,163,10,No
1817,CD,12,3,No
1818,CD,111,14,Yes
1819,AB,39,7,No
1820,AB,61,14,No
1821,CD,124,10,Yes
1822,CD,93,10,Yes
1823,CD,112,13,No
1824,CD,18,5,No
1825,CD,62,15,Yes
1826,CD,162,12,No
1827,AB,143,4,Yes
1828,CD,29,5,No
1829,AB,91,8,No
1830,CD,40,14,Yes
1831,CD,80,18,Yes
1832,CD,144,14,No
1833,CD,121,9,Yes
1834,AB,134,2,No
1835,AB,14,3,No
1836,CD,73,15,No
1837,AB,120,14,No
1838,AB,140,13,Yes
1839,AB,176,14,No
1840,AB,173,3,Yes
1841,AB,110,14,No
1842,CD,4,18,No
1843,CD,29,8,No
1844,CD,67,13,Yes
1845,AB,30,6,No
1846,CD,84,6,Yes
1847,CD,113,10,Yes
1848,CD,148,5,No
1849,AB,115,17,Yes
1850,AB,118,2,Yes
1851,CD,41,1,No
1852,AB,176,1,No
1853,CD,91,7,Yes
1854,CD,35,16,No
1855,CD,20,11,No
1856,AB,39,2,No
1857,AB,118,6,Yes
1858,AB,133,19,Yes
1859,AB,29,12,Yes
1860,AB,108,9,Yes
1861,CD,82,19,No
1862,AB,179,18,Yes
1863,CD,114,7,Yes
1864,AB,102,18,No
1865,CD,143,3,No
1866,AB,164,5,Yes
1867,CD,131,16,Yes
1868,AB,131,11,No
1869,AB,59,9,Yes
1870,AB,66,16,No
1871,CD,23,15,No
1872,CD,160,9,No
1873,CD,172,10,Yes
1874,AB,105,15,Yes
1875,CD,83,15,Yes
1876,AB,11,13,No
1877,CD,16,5,Yes
1878,AB,111,9,No
1879,AB,48,3,No
1880,AB,112,5,No
1881,AB,118,9,No
1882,CD,27,11,Yes
1883,CD,99,12,No
1884,AB,119,17,No
1885,AB,76,11,Yes
1886,AB,81,19,Yes
1887,CD,99,1,No
1888,AB,66,3,Yes
1889,AB,45,19,No
1890,AB,117,13,Yes
1891,AB,26,11,Yes
1892,AB,162,19,Yes
1893,CD,71,7,Yes
1894,CD,108,17,No
1895,AB,6,3,No
1896,AB,94,17,Yes
1897,AB,131,18,Yes
1898,CD,8,18,No
1899,AB,155,15,Yes
1900,AB,64,2,Yes
1901,AB,12,6,Yes
1902,AB,67,12,Yes
1903,AB,59,7,No
1904,AB,59,5,Yes
1905,CD,132,9,Yes
1906,CD,78,18,Yes
1907,CD,61,15,Yes
1908,AB,108,4,Yes
1909,AB,52,8,No
1910,AB,131,17,Yes
1911,AB,43,11,Yes
1912,CD,66,15,No
1913,CD,32,4,No
1914,AB,39,2,Yes
1915,AB,62,3,No
1916,CD,88,9,Yes
1917,AB,107,5,Yes
1918,CD,98,4,Yes
1919,CD,141,1,Yes
1920,AB,57,16,No
1921,AB,176,3,No
1922,CD,172,5,No
1923,CD,130,19,Yes
1924,CD,120,1,Yes
1925,CD,20,15,Yes
1926,CD,45,11,No
1927,CD,62,7,Yes
1928,CD,101,12,No
1929,AB,56,17,Yes
1930,CD,130,5,No
1931,AB,157,13,No
1932,CD,130,7,Yes
1933,AB,56,18,Yes
1934,CD,125,13,Yes
1935,CD,139,16,Yes
1936,AB,79,19,Yes
1937,CD,75,13,Yes
1938,AB,106,1,Yes
1939,AB,41,2,Yes
1940,AB,56,4,No
1941,CD,171,9,No
1942,AB,162,11,Yes
1943,AB,90,11,Yes
1944,CD,69,6,No
1945,AB,2,1,Yes
1946,AB,38,9,No
1947,AB,43,7,No
1948,CD,109,15,No
1949,AB,161,14,No
1950,CD,124,18,No
1951,AB,106,3,Yes
1952,AB,136,19,No
1953,CD,44,8,No
1954,CD,140,11,Yes
1955,CD,165,14,No
1956,AB,106,16,No
1957,AB,42,14,No
1958,CD,60,2,No
1959,CD,156,17,Yes
1960,CD,81,17,Yes
1961,CD,49,5,Yes
1962,CD,143,3,Yes
1963,AB,144,5,No
1964,CD,43,5,Yes
1965,CD,174,12,Yes
1966,AB,10,2,No
1967,CD,93,12,No
1968,AB,41,14,Yes
1969,AB,141,2,No
1970,AB,98,18,No
1971,AB,2,13,Yes
1972,CD,37,15,No
1973,AB,35,1,Yes
1974,CD,64,4,Yes
1975,AB,147,11,No
1976,AB,17,5,Yes
1977,AB,106,9,Yes
1978,CD,166,13,No
1979,CD,69,8,Yes
1980,AB,7,15,Yes
1981,CD,142,16,Yes
1982,AB,88,17,Yes
1983,AB,118,2,Yes
1984,AB,153,2,No
1985,CD,76,5,No
1986,CD,71,6,Yes
1987,AB,21,9,Yes
1988,CD,53,5,No
1989,CD,137,6,Yes
1990,AB,23,18,Yes
1991,AB,166,1,Yes
1992,CD,127,5,Yes
1993,AB,15,6,Yes
1994,CD,110,9,Yes
1995,CD,22,8,Yes
1996,CD,34,5,Yes
1997,AB,116,19,No
1998,AB,174,2,Yes
1999,AB,50,2,Yes
2000,AB,49,5,No
2001,AB,39,2,No
2002,AB,177,14,Yes
2003,AB,154,10,Yes
2004,CD,69,10,No
2005,AB,177,19,No
2006,CD,171,10,No
2007,CD,29,8,Yes
2008,AB,40,1,No
2009,AB,173,6,No
2010,CD,47,10,No
2011,AB,96,7,No
2012,CD,35,1,No
2013,AB,114,18,Yes
2014,CD,146,19,No
2015,CD,158,16,No
2016,CD,46,16,No
2017,AB,107,14,No
2018,AB,116,14,Yes
2019,CD,28,13,No
2020,CD,66,14,Yes
2021,AB,114,13,No
2022,CD,77,9,No
2023,CD,68,6,Yes
2024,CD,20,13,Yes
2025,AB,150,9,Yes
2026,AB,142,7,No
2027,AB,113,10,Yes
2028,CD,70,13,Yes
2029,AB,27,18,Yes
2030,AB,16,10,Yes
2031,CD,22,15,Yes
2032,AB,113,10,No
2033,CD,15,11,No
2034,AB,69,2,No
2035,CD,92,16,No
2036,AB,25,1,Yes
2037,CD,41,14,No
2038,AB,102,13,Yes
2039,AB,148,6,Yes
2040,AB,175,19,No
2041,AB,118,18,No
2042,CD,134,5,No
2043,AB,86,14,No
2044,CD,111,10,Yes
2045,CD,149,8,No
2046,AB,89,17,No
2047,AB,24,4,Yes
2048,AB,7,4,Yes
2049,AB,24,3,No
2050,CD,32,10,Yes
2051,CD,163,15,Yes
2052,AB,55,19,No
2053,CD,170,7,Yes
2054,AB,149,6,Yes
2055,CD,74,16,Yes
2056,CD,18,5,No
2057,CD,15,5,No
2058,AB,21,3,No
2059,AB,170,11,Yes
2060,CD,151,19,No
2061,AB,130,6,No
2062,CD,148,1,Yes
2063,AB,6,19,No
2064,AB,41,7,Yes
2065,CD,97,9,Yes
2066,AB,31,18,Yes
2067,CD,130,18,No
2068,AB,114,12,No
2069,CD,120,6,No
2070,CD,66,18,Yes
2071,AB,21,4,Yes
2072,CD,83,9,Yes
2073,CD,61,6,Yes
2074,AB,90,11,No
2075,CD,67,18,Yes
2076,AB,153,7,Yes
2077,CD,137,13,No
2078,CD,59,5,No
2079,CD,133,2,Yes
2080,CD,42,18,No
2081,CD,49,4,Yes
2082,CD,145,17,Yes
2083,AB,32,18,Yes
2084,AB,17,9,Yes
2085,CD,159,11,No
2086,CD,28,15,Yes
2087,AB,92,3,No
2088,CD,146,8,No
2089,CD,61,5,No
2090,AB,133,12,Yes
2091,CD,108,14,Yes
2092,CD,29,14,No
2093,AB,5,15,Yes
2094,CD,29,19,Yes
2095,AB,138,17,Yes
2096,CD,43,19,No
2097,CD,90,16,Yes
2098,AB,165,13,No
2099,AB,4,7,Yes
2100,CD,59,14,Yes
2101,AB,105,3,No
2102,AB,59,2,Yes
2103,CD,22,11,Yes
2104,AB,90,7,No
2105,CD,17,11,No
2106,CD,19,6,Yes
2107,AB,26,6,Yes
2108,CD,149,6,No
2109,AB,169,8,Yes
2110,AB,13,13,Yes
2111,AB,25,1,Yes
2112,CD,113,16,No
2113,AB,72,19,No
2114,AB,5,17,Yes
2115,CD,6,11,No
2116,CD,53,18,No
2117,AB,136,11,Yes
2118,CD,106,1,No
2119,CD,125,14,Yes
2120,AB,24,12,Yes
2121,CD,119,10,Yes
2122,CD,163,17,Yes
2123,AB,62,18,No
2124,AB,98,13,No
2125,CD,116,9,No
2126,AB,80,3,Yes
2127,CD,176,15,Yes
2128,AB,148,13,Yes
2129,AB,40,3,No
2130,CD,60,4,No
2131,AB,41,1,No
2132,AB,73,16,Yes
2133,CD,148,4,No
2134,CD,19,1,Yes
2135,AB,30,5,No
2136,CD,39,13,Yes
2137,AB,151,7,No
2138,AB,169,9,Yes
2139,CD,69,6,No
2140,CD,155,17,Yes
2141,CD,58,18,No
2142,CD,2,1,Yes
2143,AB,30,18,Yes
2144,CD,49,9,Yes
2145,AB,93,18,No
2146,CD,8,17,Yes
2147,AB,137,3,No
2148,CD,41,4,Yes
2149,AB,99,9,Yes
2150,CD,4,7,No
2151,CD,59,16,Yes
2152,AB,37,6,No
2153,CD,7,17,Yes
2154,CD,63,8,Yes
2155,CD,8,10,No
2156,CD,97,1,No
2157,CD,147,6,Yes
2158,AB,36,5,No
2159,AB,85,7,Yes
2160,CD,31,16,No
2161,AB,30,3,Yes
2162,AB,95,16,No
2163,CD,47,6,No
2164,AB,4,5,No
2165,CD,20,5,No
2166,CD,55,12,Yes
2167,AB,113,2,No
2168,CD,110,17,No
2169,CD,84,5,Yes
2170,AB,3,19,No
2171,AB,127,11,Yes
2172,AB,87,18,No
2173,CD,109,6,No
2174,AB,94,2,No
2175,AB,28,19,Yes
2176,AB,60,16,Yes
2177,CD,76,18,Yes
2178,AB,106,5,Yes
2179,CD,119,1,Yes
2180,AB,106,17,Yes
2181,AB,47,5,Yes
2182,AB,43,18,No
2183,AB,46,13,No
2184,AB,12,5,Yes
2185,CD,151,11,No
2186,CD,56,18,No
2187,AB,94,3,Yes
2188,CD,72,5,No
2189,AB,49,16,No
2190,CD,55,14,Yes
2191,AB,132,3,No
2192,AB,40,8,Yes
2193,CD,21,19,No
2194,CD,100,12,No
2195,AB,66,3,No
2196,AB,112,9,No
2197,CD,27,5,No
2198,AB,36,8,Yes
2199,CD,33,17,No
2200,CD,18,12,Yes
2201,CD,148,10,Yes
2202,CD,64,10,No
2203,AB,47,8,No
2204,AB,125,8,No
2205,CD,176,12,No
2206,CD,101,16,No
2207,AB,49,6,Yes
2208,CD,164,18,No
2209,AB,54,13,No
2210,CD,102,8,No
2211,AB,30,9,No
2212,AB,18,14,Yes
2213,CD,105,2,No
2214,CD,125,16,Yes
2215,AB,85,10,No
2216,AB,17,2,Yes
2217,AB,27,16,No
2218,AB,161,3,No
2219,AB,74,7,Yes
2220,CD,149,7,No
2221,AB,95,8,Yes
2222,AB,106,19,No
2223,CD,13,19,No
2224,AB,138,17,No
2225,CD,115,15,No
2226,CD,92,18,No
